"","Province.State","Country.Region","Lat","Long","continent","day","month","year","date","deaths"
"305","","Andorra",42.5063,1.5218,NA,11,3,2020,2020-03-11,0
"306","","Andorra",42.5063,1.5218,NA,12,3,2020,2020-03-12,0
"307","","Andorra",42.5063,1.5218,NA,13,3,2020,2020-03-13,0
"308","","Andorra",42.5063,1.5218,NA,14,3,2020,2020-03-14,0
"309","","Andorra",42.5063,1.5218,NA,15,3,2020,2020-03-15,0
"310","","Andorra",42.5063,1.5218,NA,16,3,2020,2020-03-16,0
"311","","Andorra",42.5063,1.5218,NA,17,3,2020,2020-03-17,0
"312","","Andorra",42.5063,1.5218,NA,18,3,2020,2020-03-18,0
"313","","Andorra",42.5063,1.5218,NA,19,3,2020,2020-03-19,0
"314","","Andorra",42.5063,1.5218,NA,20,3,2020,2020-03-20,0
"315","","Andorra",42.5063,1.5218,NA,21,3,2020,2020-03-21,0
"316","","Andorra",42.5063,1.5218,NA,22,3,2020,2020-03-22,1
"317","","Andorra",42.5063,1.5218,NA,23,3,2020,2020-03-23,1
"318","","Andorra",42.5063,1.5218,NA,24,3,2020,2020-03-24,1
"319","","Andorra",42.5063,1.5218,NA,25,3,2020,2020-03-25,1
"320","","Andorra",42.5063,1.5218,NA,26,3,2020,2020-03-26,3
"321","","Andorra",42.5063,1.5218,NA,27,3,2020,2020-03-27,3
"322","","Andorra",42.5063,1.5218,NA,28,3,2020,2020-03-28,3
"323","","Andorra",42.5063,1.5218,NA,29,3,2020,2020-03-29,6
"324","","Andorra",42.5063,1.5218,NA,30,3,2020,2020-03-30,8
"325","","Andorra",42.5063,1.5218,NA,31,3,2020,2020-03-31,12
"326","","Andorra",42.5063,1.5218,NA,1,4,2020,2020-04-01,14
"327","","Andorra",42.5063,1.5218,NA,2,4,2020,2020-04-02,15
"328","","Andorra",42.5063,1.5218,NA,3,4,2020,2020-04-03,16
"329","","Andorra",42.5063,1.5218,NA,4,4,2020,2020-04-04,17
"330","","Andorra",42.5063,1.5218,NA,5,4,2020,2020-04-05,18
"331","","Andorra",42.5063,1.5218,NA,6,4,2020,2020-04-06,21
"332","","Andorra",42.5063,1.5218,NA,7,4,2020,2020-04-07,22
"333","","Andorra",42.5063,1.5218,NA,8,4,2020,2020-04-08,23
"334","","Andorra",42.5063,1.5218,NA,9,4,2020,2020-04-09,25
"335","","Andorra",42.5063,1.5218,NA,10,4,2020,2020-04-10,26
"336","","Andorra",42.5063,1.5218,NA,11,4,2020,2020-04-11,26
"337","","Andorra",42.5063,1.5218,NA,12,4,2020,2020-04-12,29
"338","","Andorra",42.5063,1.5218,NA,13,4,2020,2020-04-13,29
"339","","Andorra",42.5063,1.5218,NA,14,4,2020,2020-04-14,31
"340","","Andorra",42.5063,1.5218,NA,15,4,2020,2020-04-15,33
"341","","Angola",-11.2027,17.8739,NA,22,1,2020,2020-01-22,0
"342","","Angola",-11.2027,17.8739,NA,23,1,2020,2020-01-23,0
"343","","Angola",-11.2027,17.8739,NA,24,1,2020,2020-01-24,0
"344","","Angola",-11.2027,17.8739,NA,25,1,2020,2020-01-25,0
"345","","Angola",-11.2027,17.8739,NA,26,1,2020,2020-01-26,0
"346","","Angola",-11.2027,17.8739,NA,27,1,2020,2020-01-27,0
"347","","Angola",-11.2027,17.8739,NA,28,1,2020,2020-01-28,0
"348","","Angola",-11.2027,17.8739,NA,29,1,2020,2020-01-29,0
"349","","Angola",-11.2027,17.8739,NA,30,1,2020,2020-01-30,0
"350","","Angola",-11.2027,17.8739,NA,31,1,2020,2020-01-31,0
"351","","Angola",-11.2027,17.8739,NA,1,2,2020,2020-02-01,0
"352","","Angola",-11.2027,17.8739,NA,2,2,2020,2020-02-02,0
"353","","Angola",-11.2027,17.8739,NA,3,2,2020,2020-02-03,0
"354","","Angola",-11.2027,17.8739,NA,4,2,2020,2020-02-04,0
"355","","Angola",-11.2027,17.8739,NA,5,2,2020,2020-02-05,0
"356","","Angola",-11.2027,17.8739,NA,6,2,2020,2020-02-06,0
"357","","Angola",-11.2027,17.8739,NA,7,2,2020,2020-02-07,0
"358","","Angola",-11.2027,17.8739,NA,8,2,2020,2020-02-08,0
"359","","Angola",-11.2027,17.8739,NA,9,2,2020,2020-02-09,0
"360","","Angola",-11.2027,17.8739,NA,10,2,2020,2020-02-10,0
"361","","Angola",-11.2027,17.8739,NA,11,2,2020,2020-02-11,0
"362","","Angola",-11.2027,17.8739,NA,12,2,2020,2020-02-12,0
"363","","Angola",-11.2027,17.8739,NA,13,2,2020,2020-02-13,0
"364","","Angola",-11.2027,17.8739,NA,14,2,2020,2020-02-14,0
"365","","Angola",-11.2027,17.8739,NA,15,2,2020,2020-02-15,0
"366","","Angola",-11.2027,17.8739,NA,16,2,2020,2020-02-16,0
"367","","Angola",-11.2027,17.8739,NA,17,2,2020,2020-02-17,0
"368","","Angola",-11.2027,17.8739,NA,18,2,2020,2020-02-18,0
